<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RTSI;60;02/03/20;110000;1340.2100000;1358.9400000;1335.7600000;1358.8600000;307864389
RTSI;60;02/03/20;120000;1358.8200000;1368.6300000;1356.5700000;1356.9500000;226940627
RTSI;60;02/03/20;130000;1357.0700000;1360.0100000;1342.4100000;1348.0000000;151921296
RTSI;60;02/03/20;140000;1347.9000000;1347.9000000;1332.3300000;1332.5900000;124305520
RTSI;60;02/03/20;150000;1332.5100000;1333.3600000;1304.0800000;1304.9800000;189450623
RTSI;60;02/03/20;160000;1304.9100000;1308.1300000;1275.1700000;1304.3200000;463119179
RTSI;60;02/03/20;170000;1304.3500000;1304.4200000;1284.1000000;1302.6900000;183303023
RTSI;60;02/03/20;180000;1302.6800000;1317.9300000;1299.6800000;1302.1500000;243353543
RTSI;60;02/03/20;190000;1302.2800000;1309.0600000;1293.0700000;1303.4700000;283824195
RTSI;60;03/03/20;110000;1336.1000000;1343.6600000;1326.7900000;1339.1200000;212794264
RTSI;60;03/03/20;120000;1339.0600000;1347.2700000;1335.8000000;1340.6100000;229805142
RTSI;60;03/03/20;130000;1340.4900000;1341.8600000;1329.7400000;1341.2000000;122409858
RTSI;60;03/03/20;140000;1341.0700000;1341.6400000;1335.0900000;1340.5500000;99468803
RTSI;60;03/03/20;150000;1340.5000000;1340.8000000;1332.4600000;1339.1700000;108394464
RTSI;60;03/03/20;160000;1339.1400000;1350.7600000;1334.8500000;1339.4700000;153761890
RTSI;60;03/03/20;170000;1339.3900000;1344.3100000;1331.4800000;1339.7900000;116295240
RTSI;60;03/03/20;180000;1339.8200000;1342.8900000;1320.5100000;1323.4400000;212822783
RTSI;60;03/03/20;190000;1322.9900000;1360.2800000;1322.9900000;1358.0300000;381769613
RTSI;60;04/03/20;110000;1335.3500000;1335.3500000;1326.9000000;1333.7800000;187519871
RTSI;60;04/03/20;120000;1333.7600000;1345.5600000;1331.5000000;1345.0000000;166984781
RTSI;60;04/03/20;130000;1344.9300000;1353.4400000;1342.1900000;1350.4200000;129753586
RTSI;60;04/03/20;140000;1350.5400000;1357.7300000;1348.1400000;1351.9500000;97965248
RTSI;60;04/03/20;150000;1351.9500000;1360.2400000;1348.8300000;1358.6900000;90293459
RTSI;60;04/03/20;160000;1358.6300000;1364.5500000;1356.3300000;1360.4900000;113172890
RTSI;60;04/03/20;170000;1360.1900000;1361.3200000;1352.2100000;1355.9500000;118986691
RTSI;60;04/03/20;180000;1355.9500000;1356.4400000;1340.6100000;1342.2000000;156485939
RTSI;60;04/03/20;190000;1342.3300000;1351.4500000;1341.6100000;1348.1900000;193445140
RTSI;60;05/03/20;110000;1357.6900000;1363.7300000;1350.7800000;1354.1900000;164367933
RTSI;60;05/03/20;120000;1354.1900000;1357.1200000;1341.2300000;1343.7300000;152195869
RTSI;60;05/03/20;130000;1343.5800000;1344.3400000;1334.7300000;1336.5700000;137025646
RTSI;60;05/03/20;140000;1336.5500000;1340.4700000;1327.5200000;1334.6900000;131332599
RTSI;60;05/03/20;150000;1334.6600000;1344.8600000;1330.2500000;1331.8800000;120462289
RTSI;60;05/03/20;160000;1331.9100000;1337.9600000;1330.7500000;1336.1900000;78996195
RTSI;60;05/03/20;170000;1336.2000000;1336.5800000;1323.0900000;1324.2000000;119013796
RTSI;60;05/03/20;180000;1324.1800000;1329.3200000;1319.1800000;1321.4300000;150297211
RTSI;60;05/03/20;190000;1322.1700000;1327.1400000;1319.1500000;1323.8200000;155146364
RTSI;60;06/03/20;110000;1289.5200000;1300.6100000;1281.5900000;1285.4300000;256977803
RTSI;60;06/03/20;120000;1285.5200000;1286.3200000;1270.6100000;1274.8400000;298129553
RTSI;60;06/03/20;130000;1274.9200000;1280.6300000;1252.6300000;1253.5700000;176106676
RTSI;60;06/03/20;140000;1253.4600000;1266.7100000;1243.8700000;1254.1300000;205291287
RTSI;60;06/03/20;150000;1254.0400000;1255.6700000;1241.7600000;1244.5400000;229800628
RTSI;60;06/03/20;160000;1244.5300000;1254.6200000;1243.2800000;1246.8900000;197372209
RTSI;60;06/03/20;170000;1246.7700000;1259.4100000;1238.5300000;1257.6200000;203673120
RTSI;60;06/03/20;180000;1257.7000000;1264.4900000;1243.5900000;1249.8600000;219857390
RTSI;60;06/03/20;190000;1249.9800000;1260.2000000;1242.7700000;1257.9600000;272896796
RTSI;60;10/03/20;110000;1149.8100000;1149.8100000;1055.3100000;1098.4600000;570022985
RTSI;60;10/03/20;120000;1098.4200000;1107.8500000;1084.9700000;1102.4300000;412014612
RTSI;60;10/03/20;130000;1102.3700000;1123.0900000;1100.9000000;1120.2900000;302024632
RTSI;60;10/03/20;140000;1120.3200000;1182.0800000;1116.2500000;1169.0900000;510848244
RTSI;60;10/03/20;150000;1168.7900000;1176.0500000;1147.5600000;1172.5500000;348726378
RTSI;60;10/03/20;160000;1172.4500000;1172.4800000;1133.7400000;1144.6900000;312796787
RTSI;60;10/03/20;170000;1143.3500000;1147.4200000;1129.4100000;1132.5300000;287873319
RTSI;60;10/03/20;180000;1132.4400000;1135.5500000;1097.0600000;1098.3400000;348864571
RTSI;60;10/03/20;190000;1097.9800000;1103.6300000;1091.2200000;1094.1800000;404077941
RTSI;60;11/03/20;110000;1119.7100000;1130.6200000;1106.6800000;1115.1900000;344548897
RTSI;60;11/03/20;120000;1115.9900000;1116.0100000;1083.7800000;1110.1500000;315134546
RTSI;60;11/03/20;130000;1110.0200000;1110.0200000;1093.4900000;1099.1300000;157470219
RTSI;60;11/03/20;140000;1099.1700000;1107.6700000;1093.4500000;1103.5800000;136314169
RTSI;60;11/03/20;150000;1103.6200000;1105.7200000;1096.0400000;1100.5100000;106025475
RTSI;60;11/03/20;160000;1100.5100000;1103.4500000;1076.9100000;1077.0400000;195330023
RTSI;60;11/03/20;170000;1076.8100000;1100.6100000;1076.5400000;1094.7400000;253554796
RTSI;60;11/03/20;180000;1094.5100000;1100.1000000;1084.3400000;1087.6100000;222487531
RTSI;60;11/03/20;190000;1087.7600000;1089.5000000;1082.3500000;1086.1800000;230790121
RTSI;60;12/03/20;110000;1042.2000000;1042.2000000;1005.2000000;1006.2800000;399294008
